contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,850,-15,9.122000000000002e-7,1.3882954224962348e-8,5.816000000000001e-7,1.0881163826852345e-8
f,850,-12.5,1.5516657099999992e-6,5.198971081252579e-8,1.0033332100000002e-6,4.156653771406579e-8
f,850,-10,2.4800010249999998e-6,6.56203151478485e-8,1.6066669349999998e-6,5.201710613677869e-8
f,850,-7.5,4.754999999999999e-6,1.5707295689026164e-7,3.07e-6,1.2470072439645245e-7
f,850,-5,1.102500000000001e-5,2.394137084817826e-7,7.014999999999998e-6,1.892673997496663e-7
f,850,-2.5,1.9962749999999997e-4,5.094389861396555e-7,1.2643625000000004e-4,4.033095918067316e-7
f,850,-2,4.946312500000002e-4,8.000722259312847e-7,3.1910874999999995e-4,6.401332995053769e-7
f,850,-1.5,0.0011348087500000004,1.2115794632961296e-6,7.446562500000002e-4,9.777842187251025e-7
f,850,-1,0.002156267,1.668758645253817e-6,0.0014310252500000006,1.3539281831287066e-6
f,850,-0.5,0.0031938857499999988,2.026772536045704e-6,0.0021359004999999998,1.6472158767388987e-6
f,850,0,0.0036376677500000016,2.166072664229206e-6,0.002438481999999999,1.758234812674161e-6
f,900,-15,1.0122e-6,1.4600251307891929e-8,6.524000000000003e-7,1.1558932680572202e-8
f,900,-12.5,1.7633332299999998e-6,5.583087427702805e-8,1.1200002699999998e-6,4.358914044741945e-8
f,900,-10,2.578332659999999e-6,6.672947174946694e-8,1.7199986100000003e-6,5.400781449149313e-8
f,900,-7.5,5.1949999999999985e-6,1.6393163708158957e-7,3.3549999999999992e-6,1.306744498735311e-7
f,900,-5,1.2290000000000013e-5,2.510979093531048e-7,7.965000000000013e-6,2.0144001261479798e-7
f,900,-2.5,2.2218000000000002e-4,5.368009023369519e-7,1.4118625000000007e-4,4.2615185258327365e-7
f,900,-2,5.447625e-4,8.393983998074532e-7,3.5210250000000003e-4,6.727117439313254e-7
f,900,-1.5,0.0012386699999999994,1.2658672237106245e-6,8.1439925e-4,1.0206851119474774e-6
f,900,-1,0.0023302317499999995,1.7347016503500702e-6,0.0015498722499999984,1.4081038951359435e-6
